,Unnamed: 0,0,1,2,Venue,Opened,Info,Also known as,Closed,Open,address_freq,inconsistent,venue_freq,address_prompt,location,point,latitude,longitude,altitude,address_prompt2,location2,point2,latitude2,longitude2,altitude2,is_problem,Lat,Long,Side of River
109,109,114 Smith St,Collingwood VIC 3066,Australia,"The Grace Darling Hotel, Melbourne, Australia",,,Grace Darling Hotel Melbourne,,,1,,56,114 Smith St Collingwood VIC 3066 Australia,"Grace Darling Hotel, 114, Smith Street, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia","(-37.804851, 144.983442, 0.0)",-37.8048213,144.9834553,0,"The Grace Darling Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
281,281,334-348 Boundary Road,Dingley Village VIC 3172,Australia,"Dingley International Hotel, Melbourne, Australia",,,,,,1,,10,334-348 Boundary Road Dingley Village VIC 3172 Australia,"Boundary Road, Dingley Village, Melbourne, City of Kingston, Victoria, 3172, Australia","(-37.9725901, 145.1118245, 0.0)",-37.9667672,145.1118244,0,"Dingley International Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
230,230,740 Bourke Street,Docklands VIC 3008,Australia,"Telstra Dome, Melbourne, Australia",,Colonial Stadium (2000-2002)###Telstra Dome (2002-2009)###Etihad Stadium (2009-2018) ###Marvel Stadium (2018-),,,October 2002 - March 2009,3,FALSE,17,740 Bourke Street Docklands VIC 3008 Australia,"Bourke Street, Victoria Harbour, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia","(-37.820631, 144.941386, 0.0)",-37.8182356,144.9485208,0,"Telstra Dome, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
256,256,740 Bourke Street,Docklands VIC 3008,Australia,"Colonial Stadium, Melbourne, Australia",,Colonial Stadium (2000-2002)###Telstra Dome (2002-2009)###Etihad Stadium (2009-2018) ###Marvel Stadium (2018-),Docklands Stadium,,9 March 2000 - October 2002,3,FALSE,13,740 Bourke Street Docklands VIC 3008 Australia,"Bourke Street, Victoria Harbour, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia","(-37.820631, 144.941386, 0.0)",-37.8182356,144.9485208,0,"Colonial Stadium, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
310,310,105 Pearl River Rd,Ringwood VIC 3134,Australia,"Ringwood Iceland, Melbourne, Australia",,,"Icelands, ",,1970 - 2005,1,,18,105 Pearl River Rd Docklands VIC 3008 Australia,"O'Brien Icehouse, 105, Pearl River Road, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia","(-37.812100799999996, 144.9356627930395, 0.0)",-37.81712486,145.218167,0,"Ringwood Iceland, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
96,96,276 Nicholson St,Fitzroy VIC 3065,Australia,"Oh! Jean Records, Melbourne, Australia",,,Instore,,,1,,12,276 Nicholson St Fitzroy VIC 3065 Australia,"Shoe Clearance, 276, Nicholson Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia","(-37.796649, 144.975353, 0.0)",-37.7966118,144.9753709,0,"Oh! Jean Records, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
137,137,387 Brunswick Street,Fitzroy VIC 3065,Australia,"Polyester Records, Melbourne, Australia",,,Instore,,,1,,16,387 Brunswick Street Fitzroy VIC 3065 Australia,"Brunswick Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia","(-37.8023274, 144.9777958, 0.0)",-37.7955928,144.9787199,0,"Polyester Records, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
209,209,137-141 Johnston St,Fitzroy VIC 3065,Australia,"The Prague, Melbourne, Australia",,,,,,2,TRUE,10,137-141 Johnston St Fitzroy VIC 3065 Australia,"Johnston Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia","(-37.7985773, 144.9807351, 0.0)",-37.7982636,144.9794529,0,"The Prague, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
238,238,51 Brunswick St,Fitzroy VIC 3065,Australia,"Rob Roy Hotel, Melbourne, Australia",,,,,,3,TRUE,70,51 Brunswick St Fitzroy VIC 3065 Australia,"The Workers Club, 51-55, Brunswick Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia","(-37.8055763, 144.97694473860173, 0.0)",-37.8055848,144.9770279,0,"Rob Roy Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
255,255,376 Brunswick St,Fitzroy VIC 3065,Australia,"Punters Club Hotel, Melbourne, Australia",,,,,1987 - 17 February 2002,1,,134,376 Brunswick St Fitzroy VIC 3065 Australia,"Bimbo Deluxe, 376, Brunswick Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia","(-37.7961022, 144.9790461, 0.0)",-37.8007819,144.9780479,0,"Punters Club Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
