year,male,female,data_source
1854,0.0,0.0,DAQA
1855,1.0,0.0,DAQA
1856,1.0,0.0,DAQA
1857,1.0,0.0,DAQA
1858,1.0,0.0,DAQA
1859,1.0,0.0,DAQA
1860,2.0,0.0,DAQA
1861,3.0,0.0,DAQA
1862,3.0,0.0,DAQA
1863,3.0,0.0,DAQA
1864,3.0,0.0,DAQA
1865,3.0,0.0,DAQA
1866,3.0,0.0,DAQA
1867,3.0,0.0,DAQA
1868,3.0,0.0,DAQA
1869,3.0,0.0,DAQA
1870,3.0,0.0,DAQA
1871,3.0,0.0,DAQA
1872,3.0,0.0,DAQA
1873,2.0,0.0,DAQA
1874,2.0,0.0,DAQA
1875,3.0,0.0,DAQA
1876,3.0,0.0,DAQA
1877,3.0,0.0,DAQA
1878,4.0,0.0,DAQA
1879,4.0,0.0,DAQA
1880,5.0,0.0,DAQA
1881,6.0,0.0,DAQA
1882,6.0,0.0,DAQA
1883,6.0,0.0,DAQA
1884,6.0,0.0,DAQA
1885,7.0,0.0,DAQA
1886,7.0,0.0,DAQA
1887,7.0,0.0,DAQA
1888,7.0,0.0,DAQA
1889,7.0,0.0,DAQA
1890,7.0,0.0,DAQA
1891,7.0,0.0,DAQA
1892,7.0,0.0,DAQA
1893,7.0,0.0,DAQA
1894,7.0,0.0,DAQA
1895,7.0,0.0,DAQA
1896,7.0,0.0,DAQA
1897,7.0,0.0,DAQA
1898,7.0,0.0,DAQA
1899,7.0,0.0,DAQA
1900,6.0,0.0,DAQA
1901,6.0,0.0,DAQA
1902,6.0,0.0,DAQA
1903,6.0,0.0,DAQA
1904,6.0,0.0,DAQA
1905,7.0,0.0,DAQA
1906,8.0,0.0,DAQA
1907,8.0,0.0,DAQA
1908,8.0,0.0,DAQA
1909,8.0,0.0,DAQA
1910,8.0,1.0,DAQA
1911,9.0,2.0,DAQA
1912,9.0,2.0,DAQA
1913,9.0,2.0,DAQA
1914,9.0,2.0,DAQA
1915,9.0,2.0,DAQA
1916,9.0,3.0,DAQA
1917,9.0,2.0,DAQA
1918,10.0,2.0,DAQA
1919,10.0,2.0,DAQA
1920,11.0,2.0,DAQA
1921,10.0,2.0,DAQA
1922,10.0,2.0,DAQA
1923,9.0,2.0,DAQA
1924,9.0,2.0,DAQA
1925,11.0,4.0,DAQA
1926,12.0,5.0,DAQA
1927,13.0,5.0,DAQA
1928,15.0,5.0,DAQA
1929,15.0,5.0,DAQA
1930,14.0,4.0,DAQA
1931,15.0,4.0,DAQA
1932,16.0,4.0,DAQA
1933,17.0,5.0,DAQA
1934,17.0,5.0,DAQA
1935,18.0,5.0,DAQA
1936,19.0,5.0,DAQA
1937,20.0,5.0,DAQA
1938,22.0,4.0,DAQA
1939,21.0,4.0,DAQA
1940,21.0,3.0,DAQA
1941,21.0,3.0,DAQA
1942,21.0,3.0,DAQA
1943,21.0,2.0,DAQA
1944,22.0,2.0,DAQA
1945,22.0,2.0,DAQA
1946,25.0,2.0,DAQA
1947,27.0,2.0,DAQA
1948,27.0,2.0,DAQA
1949,28.0,2.0,DAQA
1950,29.0,2.0,DAQA
1951,30.0,2.0,DAQA
1952,30.0,2.0,DAQA
1953,31.0,2.0,DAQA
1954,33.0,2.0,DAQA
1955,35.0,3.0,DAQA
1956,36.0,3.0,DAQA
1957,37.0,2.0,DAQA
1958,38.0,2.0,DAQA
1959,39.0,2.0,DAQA
1960,39.0,2.0,DAQA
1961,39.0,2.0,DAQA
1962,39.0,2.0,DAQA
1963,40.0,2.0,DAQA
1964,41.0,3.0,DAQA
1965,41.0,3.0,DAQA
1966,41.0,3.0,DAQA
1967,41.0,4.0,DAQA
1968,38.0,4.0,DAQA
1969,37.0,4.0,DAQA
1970,37.0,6.0,DAQA
1971,37.0,7.0,DAQA
1972,37.0,7.0,DAQA
1973,37.0,8.0,DAQA
1974,37.0,8.0,DAQA
1975,33.0,9.0,DAQA
1976,31.0,8.0,DAQA
1977,31.0,8.0,DAQA
1978,31.0,7.0,DAQA
1979,31.0,7.0,DAQA
1980,31.0,7.0,DAQA
1981,29.0,6.0,DAQA
1982,28.0,6.0,DAQA
1983,28.0,6.0,DAQA
1984,28.0,6.0,DAQA
1985,27.0,6.0,DAQA
1986,24.0,6.0,DAQA
1987,24.0,6.0,DAQA
1988,23.0,6.0,DAQA
1989,23.0,6.0,DAQA
1990,22.0,6.0,DAQA
1991,19.0,6.0,DAQA
1992,19.0,6.0,DAQA
1993,19.0,6.0,DAQA
1994,19.0,6.0,DAQA
1995,19.0,6.0,DAQA
1996,17.0,6.0,DAQA
1997,15.0,6.0,DAQA
1998,14.0,6.0,DAQA
1999,13.0,6.0,DAQA
2000,11.0,6.0,DAQA
2001,11.0,6.0,DAQA
2002,11.0,6.0,DAQA
2003,11.0,6.0,DAQA
2004,10.0,6.0,DAQA
2005,9.0,5.0,DAQA
2006,8.0,5.0,DAQA
2007,7.0,5.0,DAQA
2008,6.0,5.0,DAQA
2009,6.0,5.0,DAQA
2010,5.0,4.0,DAQA
2011,4.0,2.0,DAQA
2012,3.0,1.0,DAQA
2013,2.0,1.0,DAQA
2014,1.0,1.0,DAQA
2015,1.0,1.0,DAQA
2016,1.0,1.0,DAQA
2017,1.0,1.0,DAQA
2018,1.0,1.0,DAQA
2019,0.0,1.0,DAQA
2020,0.0,1.0,DAQA
2021,0.0,0.0,DAQA
2022,0.0,0.0,DAQA
1777,0.0,0.0,AusStage
1778,0.0,0.0,AusStage
1779,0.0,0.0,AusStage
1780,0.0,0.0,AusStage
1781,0.0,0.0,AusStage
1782,0.0,0.0,AusStage
1783,0.0,0.0,AusStage
1784,0.0,0.0,AusStage
1785,0.0,0.0,AusStage
1786,0.0,0.0,AusStage
1787,0.0,0.0,AusStage
1788,0.0,0.0,AusStage
1789,0.0,0.0,AusStage
1790,0.0,0.0,AusStage
1791,0.0,0.0,AusStage
1792,0.0,0.0,AusStage
1793,0.0,0.0,AusStage
1794,0.0,0.0,AusStage
1795,0.0,0.0,AusStage
1796,1.0,0.0,AusStage
1797,1.0,0.0,AusStage
1798,1.0,0.0,AusStage
1799,1.0,0.0,AusStage
1800,1.0,0.0,AusStage
1801,0.0,0.0,AusStage
1802,0.0,0.0,AusStage
1803,0.0,0.0,AusStage
1804,0.0,0.0,AusStage
1805,0.0,0.0,AusStage
1806,0.0,0.0,AusStage
1807,0.0,0.0,AusStage
1808,0.0,0.0,AusStage
1809,0.0,0.0,AusStage
1810,0.0,0.0,AusStage
1811,0.0,0.0,AusStage
1812,0.0,0.0,AusStage
1813,0.0,0.0,AusStage
1814,0.0,0.0,AusStage
1815,0.0,0.0,AusStage
1816,0.0,0.0,AusStage
1817,0.0,0.0,AusStage
1818,0.0,0.0,AusStage
1819,0.0,0.0,AusStage
1820,0.0,0.0,AusStage
1821,0.0,0.0,AusStage
1822,0.0,0.0,AusStage
1823,0.0,0.0,AusStage
1824,0.0,0.0,AusStage
1825,0.0,0.0,AusStage
1826,4.0,0.0,AusStage
1827,4.0,0.0,AusStage
1828,0.0,0.0,AusStage
1829,0.0,0.0,AusStage
1830,0.0,0.0,AusStage
1831,0.0,0.0,AusStage
1832,0.0,0.0,AusStage
1833,0.0,0.0,AusStage
1834,1.0,0.0,AusStage
1835,3.0,1.0,AusStage
1836,2.0,1.0,AusStage
1837,0.0,0.0,AusStage
1838,0.0,0.0,AusStage
1839,1.0,0.0,AusStage
1840,1.0,0.0,AusStage
1841,2.0,0.0,AusStage
1842,2.0,0.0,AusStage
1843,4.0,0.0,AusStage
1844,4.0,0.0,AusStage
1845,2.0,0.0,AusStage
1846,2.0,0.0,AusStage
1847,2.0,0.0,AusStage
1848,2.0,0.0,AusStage
1849,2.0,0.0,AusStage
1850,2.0,0.0,AusStage
1851,2.0,0.0,AusStage
1852,2.0,0.0,AusStage
1853,3.0,0.0,AusStage
1854,14.0,3.0,AusStage
1855,25.0,8.0,AusStage
1856,35.0,10.0,AusStage
1857,32.0,17.0,AusStage
1858,30.0,17.0,AusStage
1859,37.0,17.0,AusStage
1860,38.0,17.0,AusStage
1861,42.0,13.0,AusStage
1862,50.0,15.0,AusStage
1863,60.0,20.0,AusStage
1864,62.0,28.0,AusStage
1865,70.0,45.0,AusStage
1866,85.0,69.0,AusStage
1867,85.0,65.0,AusStage
1868,76.0,60.0,AusStage
1869,60.0,46.0,AusStage
1870,51.0,39.0,AusStage
1871,61.0,48.0,AusStage
1872,84.0,51.0,AusStage
1873,71.0,35.0,AusStage
1874,64.0,46.0,AusStage
1875,61.0,48.0,AusStage
1876,37.0,19.0,AusStage
1877,34.0,17.0,AusStage
1878,35.0,20.0,AusStage
1879,46.0,23.0,AusStage
1880,43.0,21.0,AusStage
1881,38.0,22.0,AusStage
1882,43.0,23.0,AusStage
1883,48.0,25.0,AusStage
1884,46.0,29.0,AusStage
1885,56.0,34.0,AusStage
1886,60.0,26.0,AusStage
1887,61.0,24.0,AusStage
1888,58.0,20.0,AusStage
1889,64.0,24.0,AusStage
1890,89.0,34.0,AusStage
1891,114.0,54.0,AusStage
1892,115.0,59.0,AusStage
1893,107.0,55.0,AusStage
1894,97.0,50.0,AusStage
1895,99.0,43.0,AusStage
1896,106.0,39.0,AusStage
1897,101.0,34.0,AusStage
1898,108.0,38.0,AusStage
1899,99.0,38.0,AusStage
1900,77.0,31.0,AusStage
1901,74.0,36.0,AusStage
1902,72.0,37.0,AusStage
1903,64.0,27.0,AusStage
1904,67.0,26.0,AusStage
1905,61.0,21.0,AusStage
1906,62.0,32.0,AusStage
1907,73.0,34.0,AusStage
1908,75.0,30.0,AusStage
1909,82.0,26.0,AusStage
1910,82.0,32.0,AusStage
1911,84.0,41.0,AusStage
1912,100.0,48.0,AusStage
1913,116.0,98.0,AusStage
1914,127.0,106.0,AusStage
1915,120.0,64.0,AusStage
1916,139.0,77.0,AusStage
1917,176.0,100.0,AusStage
1918,182.0,103.0,AusStage
1919,162.0,98.0,AusStage
1920,173.0,104.0,AusStage
1921,178.0,104.0,AusStage
1922,157.0,89.0,AusStage
1923,166.0,85.0,AusStage
1924,169.0,94.0,AusStage
1925,202.0,109.0,AusStage
1926,216.0,138.0,AusStage
1927,234.0,149.0,AusStage
1928,287.0,196.0,AusStage
1929,290.0,201.0,AusStage
1930,271.0,165.0,AusStage
1931,262.0,190.0,AusStage
1932,273.0,210.0,AusStage
1933,269.0,194.0,AusStage
1934,248.0,179.0,AusStage
1935,222.0,164.0,AusStage
1936,212.0,140.0,AusStage
1937,209.0,131.0,AusStage
1938,231.0,132.0,AusStage
1939,259.0,178.0,AusStage
1940,260.0,193.0,AusStage
1941,233.0,156.0,AusStage
1942,229.0,143.0,AusStage
1943,245.0,169.0,AusStage
1944,273.0,217.0,AusStage
1945,321.0,275.0,AusStage
1946,326.0,261.0,AusStage
1947,334.0,247.0,AusStage
1948,383.0,286.0,AusStage
1949,439.0,306.0,AusStage
1950,424.0,321.0,AusStage
1951,420.0,337.0,AusStage
1952,476.0,337.0,AusStage
1953,495.0,366.0,AusStage
1954,570.0,405.0,AusStage
1955,633.0,427.0,AusStage
1956,666.0,440.0,AusStage
1957,717.0,466.0,AusStage
1958,731.0,484.0,AusStage
1959,749.0,517.0,AusStage
1960,839.0,586.0,AusStage
1961,913.0,613.0,AusStage
1962,949.0,646.0,AusStage
1963,893.0,631.0,AusStage
1964,911.0,636.0,AusStage
1965,914.0,631.0,AusStage
1966,887.0,593.0,AusStage
1967,859.0,570.0,AusStage
1968,908.0,601.0,AusStage
1969,920.0,602.0,AusStage
1970,891.0,560.0,AusStage
1971,930.0,581.0,AusStage
1972,982.0,627.0,AusStage
1973,996.0,616.0,AusStage
1974,1082.0,676.0,AusStage
1975,1123.0,716.0,AusStage
1976,1134.0,725.0,AusStage
1977,1180.0,764.0,AusStage
1978,1288.0,846.0,AusStage
1979,1395.0,954.0,AusStage
1980,1594.0,1076.0,AusStage
1981,1651.0,1144.0,AusStage
1982,1638.0,1136.0,AusStage
1983,1656.0,1123.0,AusStage
1984,1683.0,1134.0,AusStage
1985,1799.0,1195.0,AusStage
1986,1873.0,1295.0,AusStage
1987,1939.0,1354.0,AusStage
1988,2020.0,1434.0,AusStage
1989,2088.0,1502.0,AusStage
1990,2224.0,1642.0,AusStage
1991,2414.0,1826.0,AusStage
1992,2664.0,2034.0,AusStage
1993,2882.0,2259.0,AusStage
1994,3062.0,2368.0,AusStage
1995,3209.0,2537.0,AusStage
1996,3420.0,2660.0,AusStage
1997,3419.0,2588.0,AusStage
1998,3428.0,2562.0,AusStage
1999,3418.0,2533.0,AusStage
2000,3555.0,2632.0,AusStage
2001,3917.0,2908.0,AusStage
2002,4268.0,3171.0,AusStage
2003,4432.0,3279.0,AusStage
2004,4520.0,3353.0,AusStage
2005,4586.0,3441.0,AusStage
2006,4626.0,3506.0,AusStage
2007,4696.0,3673.0,AusStage
2008,4539.0,3543.0,AusStage
2009,4207.0,3274.0,AusStage
2010,4199.0,3224.0,AusStage
2011,4072.0,3121.0,AusStage
2012,3527.0,2675.0,AusStage
2013,3464.0,2662.0,AusStage
2014,3386.0,2627.0,AusStage
2015,3360.0,2637.0,AusStage
2016,3345.0,2671.0,AusStage
2017,2821.0,2386.0,AusStage
2018,2515.0,2226.0,AusStage
2019,2138.0,1895.0,AusStage
2020,1266.0,1172.0,AusStage
2021,911.0,877.0,AusStage
2022,318.0,345.0,AusStage
